coord_x,coord_y,type,E,N,W,S,NE,NW,SW,SE
0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,4,0.0,0.5333333333333333,0.0,0.0,0.5247159206519476,0.5393048054696105,0.0,0.0
2,1,4,0.0,0.5333333333333333,0.0,0.0,0.5247159206519476,0.5393048054696105,0.0,0.0
3,1,4,0.0,0.5333333333333333,0.0,0.0,0.5247159206519476,0.5393048054696105,0.0,0.0
4,1,4,0.0,0.5333333333333333,0.0,0.0,0.5247159206519476,0.5393048054696105,0.0,0.0
5,1,4,0.0,0.5333333333333333,0.0,0.0,0.5247159206519476,0.5393048054696105,0.0,0.0
6,1,4,0.0,0.5333333333333333,0.0,0.0,0.5247159206519476,0.5393048054696105,0.0,0.0
7,1,4,0.0,0.5333333333333333,0.0,0.0,0.5247159206519476,0.5393048054696105,0.0,0.0
8,1,4,0.4444444444444444,0.5333333333333333,0.0,0.0,0.4859126579037751,0.5393048054696105,0.0,0.4608885989624768
9,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2,4,0.4444444444444444,0.0,0.0,0.0,0.4859126579037751,0.0,0.0,0.4608885989624768
9,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
